,연도,시도,의료인력수,사용량,위도,경도
0,2011,서울특별시,79291,47295099,37.551638,126.993243
1,2012,서울특별시,81426,46902993,37.551638,126.993243
2,2013,서울특별시,87638,47234105,37.551638,126.993243
3,2014,서울특별시,91252,46555107,37.551638,126.993243
4,2015,서울특별시,94274,45018864,37.551638,126.993243
5,2016,서울특별시,101142,45381486,37.551638,126.993243
6,2017,서울특별시,103941,46493234,37.551638,126.993243
7,2018,서울특별시,107232,46298159,37.551638,126.993243
8,2019,서울특별시,114861,47810212,37.551638,126.993243
9,2020,서울특별시,118497,47167207,37.551638,126.993243
10,2021,서울특별시,123955,45787925,37.551638,126.993243
11,2011,부산광역시,24389,20263683,35.209853,129.069121
12,2012,부산광역시,24861,20561973,35.209853,129.069121
13,2013,부산광역시,26768,20664844,35.209853,129.069121
14,2014,부산광역시,28399,20364701,35.209853,129.069121
15,2015,부산광역시,30226,19980899,35.209853,129.069121
16,2016,부산광역시,32387,20002306,35.209853,129.069121
17,2017,부산광역시,33393,20467095,35.209853,129.069121
18,2018,부산광역시,34495,21007360,35.209853,129.069121
19,2019,부산광역시,37028,21216604,35.209853,129.069121
20,2020,부산광역시,37898,20802409,35.209853,129.069121
21,2021,부산광역시,39169,20503969,35.209853,129.069121
22,2011,대구광역시,16706,14479993,35.825757,128.576897
23,2012,대구광역시,17045,14821946,35.825757,128.576897
24,2013,대구광역시,19098,14954959,35.825757,128.576897
25,2014,대구광역시,19629,15080053,35.825757,128.576897
26,2015,대구광역시,20556,14858786,35.825757,128.576897
27,2016,대구광역시,21902,14947708,35.825757,128.576897
28,2017,대구광역시,22450,15268112,35.825757,128.576897
29,2018,대구광역시,23401,15386374,35.825757,128.576897
30,2019,대구광역시,26087,15675749,35.825757,128.576897
31,2020,대구광역시,26608,15265583,35.825757,128.576897
32,2021,대구광역시,28205,14758568,35.825757,128.576897
33,2011,인천광역시,13058,21827574,37.455307,126.70392
34,2012,인천광역시,13444,22241137,37.455307,126.70392
35,2013,인천광역시,14531,22651945,37.455307,126.70392
36,2014,인천광역시,16072,22673440,37.455307,126.70392
37,2015,인천광역시,17454,22578048,37.455307,126.70392
38,2016,인천광역시,19308,23211767,37.455307,126.70392
39,2017,인천광역시,20765,23875858,37.455307,126.70392
40,2018,인천광역시,22173,24515313,37.455307,126.70392
41,2019,인천광역시,24081,24921925,37.455307,126.70392
42,2020,인천광역시,24983,24280688,37.455307,126.70392
43,2021,인천광역시,25754,23638582,37.455307,126.70392
44,2011,광주광역시,11637,7860058,35.15484,126.836647
45,2012,광주광역시,11737,8047384,35.15484,126.836647
46,2013,광주광역시,12315,8130491,35.15484,126.836647
47,2014,광주광역시,13368,8274075,35.15484,126.836647
48,2015,광주광역시,14227,8197276,35.15484,126.836647
49,2016,광주광역시,15161,8333872,35.15484,126.836647
50,2017,광주광역시,15880,8558369,35.15484,126.836647
51,2018,광주광역시,16467,8683649,35.15484,126.836647
52,2019,광주광역시,17835,8773812,35.15484,126.836647
53,2020,광주광역시,18117,8603296,35.15484,126.836647
54,2021,광주광역시,18414,8531109,35.15484,126.836647
55,2011,대전광역시,10608,8867404,36.339403,127.396923
56,2012,대전광역시,11000,9059777,36.339403,127.396923
57,2013,대전광역시,11619,9160104,36.339403,127.396923
58,2014,대전광역시,12042,9225139,36.339403,127.396923
59,2015,대전광역시,12555,9102524,36.339403,127.396923
60,2016,대전광역시,13482,9182736,36.339403,127.396923
61,2017,대전광역시,14064,9379632,36.339403,127.396923
62,2018,대전광역시,14586,9423806,36.339403,127.396923
63,2019,대전광역시,15746,9648828,36.339403,127.396923
64,2020,대전광역시,16095,9415699,36.339403,127.396923
65,2021,대전광역시,16628,9405219,36.339403,127.396923
66,2011,울산광역시,5743,26515697,35.553064,129.254432
67,2012,울산광역시,5817,28198241,35.553064,129.254432
68,2013,울산광역시,6483,29362726,35.553064,129.254432
69,2014,울산광역시,6882,29992967,35.553064,129.254432
70,2015,울산광역시,7201,30115123,35.553064,129.254432
71,2016,울산광역시,7915,30286140,35.553064,129.254432
72,2017,울산광역시,8150,32095217,35.553064,129.254432
73,2018,울산광역시,8218,31609850,35.553064,129.254432
74,2019,울산광역시,8950,33748169,35.553064,129.254432
75,2020,울산광역시,9205,34138999,35.553064,129.254432
76,2021,울산광역시,9531,33157837,35.553064,129.254432
77,2011,세종특별자치시,0,0,36.560326,127.258638
78,2012,세종특별자치시,337,0,36.560326,127.258638
79,2013,세종특별자치시,377,578610,36.560326,127.258638
80,2014,세종특별자치시,474,2345528,36.560326,127.258638
81,2015,세종특별자치시,589,2437032,36.560326,127.258638
82,2016,세종특별자치시,671,2641141,36.560326,127.258638
83,2017,세종특별자치시,843,2801868,36.560326,127.258638
84,2018,세종특별자치시,973,2918759,36.560326,127.258638
85,2019,세종특별자치시,1109,3087692,36.560326,127.258638
86,2020,세종특별자치시,1899,3226180,36.560326,127.258638
87,2021,세종특별자치시,2065,3393224,36.560326,127.258638
88,2011,경기도,57043,93074871,37.412505,127.520017
89,2012,경기도,58096,96844519,37.412505,127.520017
90,2013,경기도,61607,100291952,37.412505,127.520017
91,2014,경기도,66821,102227064,37.412505,127.520017
92,2015,경기도,70166,102180707,37.412505,127.520017
93,2016,경기도,77429,105048002,37.412505,127.520017
94,2017,경기도,81651,109403900,37.412505,127.520017
95,2018,경기도,86060,114847859,37.412505,127.520017
96,2019,경기도,91723,122695953,37.412505,127.520017
97,2020,경기도,98513,123022306,37.412505,127.520017
98,2021,경기도,103616,124688963,37.412505,127.520017
99,2011,강원도,9040,14848023,37.820812,128.156579
100,2012,강원도,9104,15876045,37.820812,128.156579
101,2013,강원도,9365,15904385,37.820812,128.156579
102,2014,강원도,9693,15794740,37.820812,128.156579
103,2015,강원도,10279,15778145,37.820812,128.156579
104,2016,강원도,10721,16206620,37.820812,128.156579
105,2017,강원도,11042,16498769,37.820812,128.156579
106,2018,강원도,11373,16552772,37.820812,128.156579
107,2019,강원도,12115,16845627,37.820812,128.156579
108,2020,강원도,12525,16368276,37.820812,128.156579
109,2021,강원도,13102,16120066,37.820812,128.156579
110,2011,충청북도,7737,19444832,36.999466,127.700783
111,2012,충청북도,7795,20453353,36.999466,127.700783
112,2013,충청북도,8358,21361912,36.999466,127.700783
113,2014,충청북도,8635,21665045,36.999466,127.700783
114,2015,충청북도,9238,22179260,36.999466,127.700783
115,2016,충청북도,9667,22949033,36.999466,127.700783
116,2017,충청북도,10074,24008865,36.999466,127.700783
117,2018,충청북도,10654,24843380,36.999466,127.700783
118,2019,충청북도,11258,26239764,36.999466,127.700783
119,2020,충청북도,11446,26732304,36.999466,127.700783
120,2021,충청북도,11819,26901893,36.999466,127.700783
121,2011,충청남도,10068,38809315,36.717428,126.801751
122,2012,충청남도,9872,42650114,36.717428,126.801751
123,2013,충청남도,10387,44492419,36.717428,126.801751
124,2014,충청남도,11020,45466811,36.717428,126.801751
125,2015,충청남도,11549,47294961,36.717428,126.801751
126,2016,충청남도,12275,47286060,36.717428,126.801751
127,2017,충청남도,12844,48453932,36.717428,126.801751
128,2018,충청남도,13168,50180207,36.717428,126.801751
129,2019,충청남도,14122,52012704,36.717428,126.801751
130,2020,충청남도,14417,52644854,36.717428,126.801751
131,2021,충청남도,15824,50422733,36.717428,126.801751
132,2011,전라북도,12084,18949074,35.717518,127.156528
133,2012,전라북도,12147,21168362,35.717518,127.156528
134,2013,전라북도,12887,21462321,35.717518,127.156528
135,2014,전라북도,13476,21708660,35.717518,127.156528
136,2015,전라북도,14246,22297413,35.717518,127.156528
137,2016,전라북도,15147,22086859,35.717518,127.156528
138,2017,전라북도,15647,22733494,35.717518,127.156528
139,2018,전라북도,16297,22799646,35.717518,127.156528
140,2019,전라북도,16821,22961959,35.717518,127.156528
141,2020,전라북도,17277,22280691,35.717518,127.156528
142,2021,전라북도,17834,20538911,35.717518,127.156528
143,2011,전라남도,12323,25059938,34.867289,126.993547
144,2012,전라남도,12418,27136868,34.867289,126.993547
145,2013,전라남도,12973,28484707,34.867289,126.993547
146,2014,전라남도,13713,30302072,34.867289,126.993547
147,2015,전라남도,14400,31722943,34.867289,126.993547
148,2016,전라남도,15045,32637828,34.867289,126.993547
149,2017,전라남도,15380,33096902,34.867289,126.993547
150,2018,전라남도,16040,33562077,34.867289,126.993547
151,2019,전라남도,16775,34118388,34.867289,126.993547
152,2020,전라남도,16872,32385388,34.867289,126.993547
153,2021,전라남도,17368,30973974,34.867289,126.993547
154,2011,경상북도,13936,41589043,36.327952,128.951526
155,2012,경상북도,14066,44167300,36.327952,128.951526
156,2013,경상북도,14883,44799528,36.327952,128.951526
157,2014,경상북도,15552,45444250,36.327952,128.951526
158,2015,경상북도,16019,46016362,36.327952,128.951526
159,2016,경상북도,17160,44956835,36.327952,128.951526
160,2017,경상북도,17851,44647502,36.327952,128.951526
161,2018,경상북도,18267,45455611,36.327952,128.951526
162,2019,경상북도,19165,45958813,36.327952,128.951526
163,2020,경상북도,19271,44314767,36.327952,128.951526
164,2021,경상북도,19840,41001627,36.327952,128.951526
165,2011,경상남도,17360,31549217,35.460156,128.215601
166,2012,경상남도,17995,33071206,35.460156,128.215601
167,2013,경상남도,19226,33014944,35.460156,128.215601
168,2014,경상남도,20191,33530620,35.460156,128.215601
169,2015,경상남도,21409,33435158,35.460156,128.215601
170,2016,경상남도,24002,33876325,35.460156,128.215601
171,2017,경상남도,25142,34497474,35.460156,128.215601
172,2018,경상남도,26074,34647863,35.460156,128.215601
173,2019,경상남도,27744,35158611,35.460156,128.215601
174,2020,경상남도,28757,34472017,35.460156,128.215601
175,2021,경상남도,29444,34069974,35.460156,128.215601
176,2011,제주특별자치도,3682,3574622,33.424967,126.778084
177,2012,제주특별자치도,3604,3710080,33.424967,126.778084
178,2013,제주특별자치도,4145,3864639,33.424967,126.778084
179,2014,제주특별자치도,4331,4094900,33.424967,126.778084
180,2015,제주특별자치도,4566,4220090,33.424967,126.778084
181,2016,제주특별자치도,4809,4429551,33.424967,126.778084
182,2017,제주특별자치도,5079,4738201,33.424967,126.778084
183,2018,제주특별자치도,5317,5013544,33.424967,126.778084
184,2019,제주특별자치도,5575,5272603,33.424967,126.778084
185,2020,제주특별자치도,5706,5374284,33.424967,126.778084
186,2021,제주특별자치도,5984,5373287,33.424967,126.778084
