,기간,관광객,전력소비량,연도,월
0,2010_01,801636,2335102,2010,1
1,2010_02,893050,2188707,2010,2
2,2010_03,1090884,2091419,2010,3
3,2010_04,1086594,2115785,2010,4
4,2010_05,1050680,1988778,2010,5
5,2010_06,1040948,1989683,2010,6
6,2010_07,1082170,2090517,2010,7
7,2010_08,1160414,2191269,2010,8
8,2010_09,1093478,2131954,2010,9
9,2010_10,1316488,1973165,2010,10
10,2010_11,1116648,2123175,2010,11
11,2010_12,1000778,2310349,2010,12
12,2011_01,799996,2535239,2011,1
13,2011_02,861844,2343107,2011,2
14,2011_03,1078556,2260801,2011,3
15,2011_04,1087948,2218604,2011,4
16,2011_05,1071544,2085554,2011,5
17,2011_06,1172768,2102778,2011,6
18,2011_07,1335812,2193162,2011,7
19,2011_08,1436286,2256481,2011,8
20,2011_09,1349940,2168203,2011,9
21,2011_10,1536392,2094312,2011,10
22,2011_11,1354508,2168674,2011,11
23,2011_12,1320620,2332567,2011,12
24,2012_01,1114016,2498215,2012,1
25,2012_02,1148694,2465632,2012,2
26,2012_03,1422652,2371065,2012,3
27,2012_04,1547138,2263786,2012,4
28,2012_05,1465776,2139747,2012,5
29,2012_06,1510802,2152759,2012,6
30,2012_07,1623826,2243203,2012,7
31,2012_08,1709500,2346240,2012,8
32,2012_09,1532710,2227550,2012,9
33,2012_10,1586178,2052624,2012,10
34,2012_11,1327364,2230360,2012,11
35,2012_12,1324980,2444965,2012,12
36,2013_01,1141516,2616024,2013,1
37,2013_02,1216768,2411552,2013,2
38,2013_03,1513596,2323783,2013,3
39,2013_04,1454434,2294385,2013,4
40,2013_05,1316824,2203518,2013,5
41,2013_06,1520714,2197990,2013,6
42,2013_07,1744872,2304198,2013,7
43,2013_08,1973140,2391003,2013,8
44,2013_09,1706548,2281235,2013,9
45,2013_10,1675652,2173316,2013,10
46,2013_11,1420956,2265934,2013,11
47,2013_12,1466356,2463243,2013,12
48,2014_01,1280670,2574024,2014,1
49,2014_02,1287064,2423945,2014,2
50,2014_03,1731854,2389529,2014,3
51,2014_04,1963430,2309050,2014,4
52,2014_05,1902564,2198683,2014,5
53,2014_06,1892354,2226013,2014,6
54,2014_07,2059810,2352646,2014,7
55,2014_08,2168408,2354869,2014,8
56,2014_09,1879456,2244793,2014,9
57,2014_10,2113608,2224438,2014,10
58,2014_11,1800340,2278167,2014,11
59,2014_12,1775402,2506989,2014,12
60,2015_01,1446510,2671958,2015,1
61,2015_02,1630276,2459326,2015,2
62,2015_03,1916986,2403517,2015,3
63,2015_04,2225808,2356720,2015,4
64,2015_05,2121460,2227999,2015,5
65,2015_06,1035852,2254741,2015,6
66,2015_07,838860,2316382,2015,7
67,2015_08,1461616,2466410,2015,8
68,2015_09,1815748,2335534,2015,9
69,2015_10,2152306,2203005,2015,10
70,2015_11,1823294,2286089,2015,11
71,2015_12,1802262,2457388,2015,12
72,2016_01,1730128,2625318,2016,1
73,2016_02,1699990,2562954,2016,2
74,2016_03,2246930,2485010,2016,3
75,2016_04,2428402,2360203,2016,4
76,2016_05,2405384,2249152,2016,5
77,2016_06,2554232,2333418,2016,6
78,2016_07,2810992,2387664,2016,7
79,2016_08,2625028,2612461,2016,8
80,2016_09,2398900,2423759,2016,9
81,2016_10,2607384,2267598,2016,10
82,2016_11,2152942,2368027,2016,11
83,2016_12,2205538,2560809,2016,12
84,2017_01,1956446,2658644,2017,1
85,2017_02,1905896,2613082,2017,2
86,2017_03,1940778,2503443,2017,3
87,2017_04,1709338,2400650,2017,4
88,2017_05,1477180,2279052,2017,5
89,2017_06,1550362,2333686,2017,6
90,2017_07,1564778,2541676,2017,7
91,2017_08,1634452,2667866,2017,8
92,2017_09,1678830,2490357,2017,9
93,2017_10,1799762,2256987,2017,10
94,2017_11,1761490,2429005,2017,11
95,2017_12,1851876,2692972,2017,12
96,2018_01,1485464,2844805,2018,1
97,2018_02,1580954,2749987,2018,2
98,2018_03,2171084,2525663,2018,3
99,2018_04,2182706,2472500,2018,4
100,2018_05,1982898,2384145,2018,5
101,2018_06,2111710,2414449,2018,6
102,2018_07,2061224,2589997,2018,7
103,2018_08,2201422,2913652,2018,8
104,2018_09,2026652,2572296,2018,9
105,2018_10,2538402,2351616,2018,10
106,2018_11,2261418,2465007,2018,11
107,2018_12,2224762,2665726,2018,12
108,2019_01,1768586,2861434,2019,1
109,2019_02,1815856,2609034,2019,2
110,2019_03,2503488,2534627,2019,3
111,2019_04,2765080,2496506,2019,4
112,2019_05,2467124,2394588,2019,5
113,2019_06,2475680,2389400,2019,6
114,2019_07,2437534,2527422,2019,7
115,2019_08,2503528,2797554,2019,8
116,2019_09,2356842,2567605,2019,9
117,2019_10,2807152,2389577,2019,10
118,2019_11,2469006,2418327,2019,11
119,2019_12,2494674,2631270,2019,12
120,2020_01,2060994,2725112,2020,1
121,2020_02,1007952,2617550,2020,2
122,2020_03,62994,2521799,2020,3
123,2020_04,10270,2380893,2020,4
124,2020_05,12222,2254565,2020,5
125,2020_06,19488,2338405,2020,6
126,2020_07,25464,2474574,2020,7
127,2020_08,17268,2623483,2020,8
128,2020_09,21238,2653576,2020,9
129,2020_10,22238,2297959,2020,10
130,2020_11,23028,2420360,2020,11
131,2020_12,23786,2648651,2020,12
132,2021_01,18070,2867974,2021,1
133,2021_02,17000,2658115,2021,2
134,2021_03,22338,2533786,2021,3
135,2021_04,22984,2464686,2021,4
136,2021_05,30762,2402486,2021,5
137,2021_06,35694,2472463,2021,6
138,2021_07,40594,2704223,2021,7
139,2021_08,36904,2878232,2021,8
140,2021_09,39222,2636404,2021,9
141,2021_10,51396,2461071,2021,10
142,2021_11,57468,2519389,2021,11
143,2021_12,51260,2779448,2021,12
