연도,시도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2010,강원도,1480180,1382020,1308429,1317499,1185530,1114450,1055938,1088438,1058865,1116695,1297575,1442404
2010,경기도,8725482,8341902,7574084,7727001,7156767,7152029,7589292,7961584,7659696,6868326,7866013,8452695
2010,경상남도,2922775,2719682,2648326,2665253,2453568,2429359,2550149,2600386,2594082,2428098,2623317,2914222
2010,경상북도,3743904,3471888,3484251,3454660,3321968,3301601,3344445,3428974,3394857,3370268,3498295,3773932
2010,광주광역시,712924,682498,632293,642843,603935,605548,667137,697066,692544,605233,632721,685316
2010,대구광역시,1331473,1269135,1172936,1199557,1100160,1119186,1202680,1284747,1267503,1080432,1164842,1287342
2010,대전광역시,826373,778458,716986,724076,664428,684218,748174,800784,770732,668362,705397,779416
2010,부산광역시,1848492,1731722,1635276,1682021,1571566,1560178,1675050,1797007,1806226,1571374,1616403,1768368
2010,서울특별시,4398183,4168168,3624186,3719082,3426951,3729030,4219590,4646112,4296100,3441549,3603223,4022925
2010,울산광역시,2259608,2042581,2179708,2170165,2200352,2165892,2218722,2290022,2260645,2168811,2219654,2339537
2010,인천광역시,2016429,1841774,1797828,1825715,1707125,1728906,1766598,1861369,1807585,1690609,1802665,1980971
2010,전라남도,2233687,2005193,2027921,2049713,1991208,1920409,1998945,2114591,2098805,2098914,2163915,2356637
2010,전라북도,1707366,1592103,1572336,1609044,1523156,1488035,1493114,1551166,1553451,1493322,1608650,1757331
2010,제주특별자치도,325800,317412,284038,300520,275117,271052,286859,331375,317709,270423,286959,307358
2010,충청남도,3408166,3188393,3236855,3198820,3068283,3038587,3170594,3206697,3139467,3167916,3362576,3622961
2010,충청북도,1755905,1675101,1658672,1682392,1559121,1516139,1551504,1591255,1524966,1503473,1641772,1784532
2011,강원도,1582163,1520498,1420666,1361937,1245617,1184828,1144760,1176803,1180929,1242326,1331481,1484037
2011,경기도,9555286,8918913,8206234,7992730,7414139,7452141,7828198,8077684,7742435,7370838,7768998,8516923
2011,경상남도,3190181,2931864,2874490,2770642,2557899,2584721,2690200,2671624,2591648,2548905,2672113,2986919
2011,경상북도,4066080,3684612,3779253,3721268,3610096,3545546,3581232,3576061,3495235,3613546,3668855,3825516
2011,광주광역시,757197,717292,672951,669154,615840,626417,674555,712046,673056,618928,635724,674224
2011,대구광역시,1418812,1336667,1234507,1216588,1126409,1163368,1243303,1286641,1211616,1125749,1176821,1281465
2011,대전광역시,877248,825822,757165,739750,685169,710217,764457,816201,749635,673068,698819,762226
2011,부산광역시,1976059,1837733,1704632,1709300,1560035,1613264,1695590,1793742,1698380,1596236,1625214,1751788
2011,서울특별시,4562632,4264449,3736362,3682652,3425703,3713716,4049595,4433093,4149017,3458466,3527460,3899848
2011,울산광역시,2424031,2121380,2302130,2326725,2330604,2370675,2462805,2382527,2370648,2361751,2338561,2406404
2011,인천광역시,2160417,1883873,1925528,1859019,1748862,1753742,1783544,1849160,1752984,1769220,1792105,1962683
2011,전라남도,2439025,2252039,2249390,2310756,2075964,2040887,2220065,2338047,2214157,2259138,2350455,2386945
2011,전라북도,1936356,1841244,1823953,1764514,1691075,1659628,1706313,1712173,1696404,1688228,1773244,1875230
2011,제주특별자치도,349747,341807,301595,314060,283081,281724,305421,335711,310488,281649,292227,312570
2011,충청남도,3898086,3586953,3649257,3521544,3457266,3437236,3500491,3537705,3429691,3376382,3534510,3720993
2011,충청북도,1905758,1767686,1795514,1755631,1626675,1609118,1633233,1660964,1593140,1618890,1680872,1805872
2012,강원도,1595626,1546100,1471927,1382879,1230593,1186370,1157824,1187258,1137513,1160784,1322410,1525101
2012,경기도,9415681,9311873,8665829,8233401,7590572,7684878,8256552,8351284,7963834,7394755,8204136,9219157
2012,경상남도,3044516,3129982,2976283,2785022,2541447,2561147,2623501,2735873,2615171,2387768,2658605,2955629
2012,경상북도,3952918,3832480,3959571,3769210,3695830,3634860,3597832,3670384,3791593,3266846,3717561,3910443
2012,광주광역시,735756,737378,696422,675943,626117,628135,660058,734889,671096,599532,656591,708574
2012,대구광역시,1386340,1375774,1281521,1229268,1135952,1160770,1214720,1345137,1227950,1084282,1190760,1322485
2012,대전광역시,849569,846326,785989,745833,689589,711321,752158,835728,748795,664620,721467,808709
2012,부산광역시,1880756,1890655,1794675,1710623,1588494,1559207,1671135,1869241,1731297,1531025,1647057,1790679
2012,서울특별시,4349335,4298788,3837539,3695515,3483656,3736558,4075847,4687134,4034771,3387032,3556636,4091294
2012,세종특별자치시,0,0,0,0,0,0,0,0,0,170446,197571,210593
2012,울산광역시,2492260,2398278,2488226,2344787,2437236,2394246,2498393,2457928,2458083,2440296,2397377,2555616
2012,인천광역시,2070192,2070475,1938203,1847382,1757729,1779877,1829867,1943473,1806302,1701322,1850798,2056325
2012,전라남도,2487117,2382964,2322324,2311276,2247817,2295154,2352615,2466141,2363465,2324550,2471144,2460140
2012,전라북도,1995371,1959294,1932255,1862254,1733219,1709387,1749714,1757560,1724665,1575263,1649186,1814153
2012,제주특별자치도,355968,358007,332926,327775,293722,295263,308449,355592,314567,283475,305359,333536
2012,충청남도,3954327,3877003,3944672,3759126,3633802,3566114,3654677,3706104,3577592,3332487,3611584,3874931
2012,충청북도,1903933,1900372,1879751,1804075,1689926,1693624,1731121,1782368,1701672,1590133,1757894,1927043
2013,강원도,1612242,1494196,1401610,1373728,1281395,1179135,1135448,1192064,1163211,1158325,1319470,1483916
2013,경기도,10001523,9265981,8564516,8420099,7916514,7896863,8325648,8781449,8104391,7628964,8216400,9104716
2013,경상남도,3232239,3003028,2852239,2810317,2624201,2559834,2806015,2707443,2658966,2550466,2711209,3014663
2013,경상북도,4048362,3717744,3862004,3721222,3696496,3651788,3736866,3762549,3685660,3669028,3805039,4087492
2013,광주광역시,748024,709493,658528,682512,637641,654744,707543,773392,702556,630561,653890,715191
2013,대구광역시,1437877,1336301,1214829,1220101,1166224,1175504,1272957,1381189,1255073,1126448,1189890,1303660
2013,대전광역시,889173,824259,752100,744219,706844,726457,781617,848615,757394,686707,715260,792494
2013,부산광역시,1919106,1793538,1660595,1666780,1569179,1580862,1703106,1861438,1720611,1565677,1596068,1727741
2013,서울특별시,4486310,4189413,3652776,3638393,3439856,3706936,4099931,4534870,4064276,3388520,3462656,3891170
2013,세종특별자치시,215974,198312,193991,193422,182642,184294,189805,201942,187499,185655,197762,214230
2013,울산광역시,2600360,2307962,2359822,2389607,2470095,2489278,2582997,2533220,2594620,2547128,2497831,2620047
2013,인천광역시,2193461,1981709,1914157,1858262,1767068,1784636,1875985,1930205,1816536,1733855,1827736,1989830
2013,전라남도,2616869,2462649,2561902,2526041,2563413,2481465,2410269,2455720,2641451,2500516,2549661,2532116
2013,전라북도,1955358,1840946,1884301,1859911,1773454,1719435,1730583,1712559,1702646,1712623,1837859,1978985
2013,제주특별자치도,373763,370123,331589,342968,315090,305151,332906,393840,351450,307499,319307,351214
2013,충청남도,4111575,3622246,3808302,3708208,3659904,3581215,3708962,3766974,3671812,3776212,3940691,4110710
2013,충청북도,2030193,1878491,1831061,1848760,1689801,1688244,1770742,1809584,1702850,1778198,1680157,1956964
2014,강원도,1559679072,1447941398,1394556099,1313297610,1222477384,1164698520,1187271176,1214876814,1179708824,1226323928,1355139604,1512174147
2014,경기도,9668915885,9131444136,8604749850,8295696225,7798652342,7996786650,8529871030,8604680302,8075792939,7860232818,8280548873,9333336414
2014,경상남도,3176344787,3029916113,2944133733,2820218739,2590844860,2590502611,2739785640,2644060876,2569954135,2580948124,2694710359,3053736792
2014,경상북도,4164536303,3841505811,4015412457,3880598303,3727121249,3731382048,3831939197,3686007822,3647641977,3733519372,3774305413,3982394035
2014,광주광역시,753935517,723755737,683278316,671402336,623437184,651234099,692995225,717104049,668280448,629548656,655912783,726391929
2014,대구광역시,1377671576,1314569237,1246282629,1222594781,1143206372,1182480347,1255757202,1273769438,1182542342,1147482196,1190354737,1322075532
2014,대전광역시,841296002,806306417,757264804,732895730,690037113,725186275,782699117,798516541,734371776,699688065,724232440,810029766
2014,부산광역시,1817341586,1741473336,1675853796,1665837509,1552138391,1572825634,1671762745,1739645062,1644323827,1576152688,1593204850,1730338329
2014,서울특별시,4155573582,3974970542,3547923014,3466187500,3305027559,3649217821,4072242067,4260832657,3844677182,3396751258,3403955176,3941503843
2014,세종특별자치시,219354361,201659488,208030115,200309963,189967922,191638551,203944572,196298672,190143083,197354074,210214674,228116450
2014,울산광역시,2585454970,2369736463,2565806466,2493939473,2487662105,2446501556,2590568593,2553748043,2453370849,2519310097,2434591903,2614433246
2014,인천광역시,2073838498,1927634619,1876836219,1815977048,1733900329,1804931293,1933603962,1911111616,1812647855,1823646978,1822629266,2041290779
2014,전라남도,2668849827,2541771495,2804619417,2709941617,2614250809,2471884306,2573918808,2592766166,2614315129,2774211368,2587552522,2768862039
2014,전라북도,2059547514,1936290326,1930533439,1871011046,1794560033,1783911895,1830153721,1767723745,1736554919,1751897219,1836120457,1999108671
2014,제주특별자치도,395005278,392463654,359620440,362045630,332179252,324320107,329067730,364065905,341393037,318160641,334243408,367525069
2014,충청남도,4240903493,3924659098,4085945295,3889221040,3820254526,3809582238,3920745691,3891817897,3745396318,3818064676,3982861271,4165509771
2014,충청북도,2000164892,1900972575,1921157385,1842677152,1751911450,1745149250,1848656485,1815753358,1720378817,1762168891,1848269171,2022001878
2015,강원도,1617029201,1498836689,1438929654,1376924715,1265815878,1219754010,1209552681,1286166141,1245383588,1243790634,1315133199,1489301532
2015,경기도,10014789317,9380604208,8783408344,8597671186,7993044995,8187214051,8494128677,9262319436,8605837478,7991731778,8471688531,9265565085
2015,경상남도,3299662507,3071402396,2964229892,2888704351,2632160966,2629377945,2709946647,2763484119,2652444370,2584405270,2710127672,2970379009
2015,경상북도,4222897194,3806760102,3833618286,3821200549,3668209129,3678558424,3607031208,3680745267,3614367811,3622496847,3603674829,3797276493
2015,광주광역시,776667026,741223402,686980103,682684453,628401874,645195423,714511685,754559879,696735552,637334533,660658484,708919711
2015,대구광역시,1417384917,1344788358,1233059012,1244032623,1149078746,1203041951,1224159289,1334384921,1226328374,1119902228,1179854656,1271693168
2015,대전광역시,875517360,815725211,761114759,746536861,698242861,735487625,760447822,851386390,769249242,691185410,704168429,773675251
2015,부산광역시,1862691172,1736815731,1655944725,1671290135,1554461505,1579057188,1639718413,1802549138,1688757860,1548416403,1584107151,1678497336
2015,서울특별시,4281116579,4023565993,3592926269,3512070628,3324248544,3637370592,3982171611,4471860152,4006650324,3375005567,3395775906,3778721671
2015,세종특별자치시,238757732,222785859,222292106,222823630,201272061,209732856,217496027,218477814,216121207,210027537,223582870,237769685
2015,울산광역시,2625575708,2374186754,2464928462,2510890621,2523195798,2490859852,2611907358,2609390296,2531954035,2468032849,2441239772,2633978250
2015,인천광역시,2170984387,1944362902,1959768580,1913281247,1796751007,1856933818,1903269318,2060393665,1882873517,1819691129,1879979555,2023476955
2015,전라남도,3036414338,2613495466,2949658587,2789053389,2777120404,2546451969,2453984483,2747294660,2762332985,2490117919,2668792626,2803112424
2015,전라북도,2120976461,1932314881,1943996079,1902281733,1794605195,1739397049,1666071050,1805578292,1804126342,1736825829,1811059648,1829627239
2015,제주특별자치도,418867480,421680003,378029463,381372024,344375490,333424138,340764312,398539004,360964164,329414395,345843861,376278884
2015,충청남도,4327257415,3927672283,4025780345,3879019415,3725601004,3813924923,3956742281,3976572839,3805968302,3779523986,3964025611,4103973175
2015,충청북도,2116715395,1952326778,1965127735,1924405409,1799403645,1824827630,1886595560,1905285365,1833995622,1803186699,1903811032,2033351130
2016,강원도,1571854631,1550975982,1467504735,1451456577,1263447253,1213047254,1239943193,1331494134,1270818870,1236128442,1377387569,1524709628
2016,경기도,9959962457,9892364965,9305513059,8712877835,8135623311,8507385628,8997317498,9808502360,9050972147,8323349234,8926703986,9783328667
2016,경상남도,3246346943,3162965458,3061924317,2864110341,2638097061,2657835393,2799026495,2912513479,2745413475,2593760616,2767897438,3047585607
2016,경상북도,3973143666,3756360174,3898041429,3683981913,3605061117,4161054523,3056868494,3810107771,3575380883,3478600500,3685279386,3963623113
2016,광주광역시,753434128,756942825,714022910,675078079,630983018,675463388,731854626,813713342,742389262,650524055,679693535,734269928
2016,대구광역시,1371791468,1364933156,1281266429,1216827256,1143952189,1210881018,1282697260,1423079938,1271426467,1155559960,1224999300,1320699504
2016,대전광역시,846242021,844537471,790757369,738081054,705223216,751191925,801595156,907681607,792137310,696964902,717171609,788049206
2016,부산광역시,1810692764,1802495927,1717795568,1647105673,1558585145,1604273711,1717653819,1901684623,1741483298,1607308756,1626101797,1731911924
2016,서울특별시,4151769627,4174917455,3729908844,3457926941,3340822563,3715673396,4101888222,4852557719,4206131418,3436054575,3479674816,3845907938
2016,세종특별자치시,248816422,239142978,241008896,225166227,211515970,225970141,233673646,243882484,227429036,216961533,232698419,255602938
2016,울산광역시,2710223355,2579197797,2760004847,2652321835,2653566577,2659734732,2767201438,2746691189,2720426361,2677199015,2491850930,2676798522
2016,인천광역시,2160094507,2022910570,2033501244,1903769624,1844210560,1901027356,2018624076,2159496769,1946464570,1820561420,1962339319,2102856826
2016,전라남도,2895724996,2775290528,2766218583,2666902849,2681434392,2605075717,2631164865,2856132181,2805440495,2782724479,2734026898,2896765652
2016,전라북도,2097895606,1993237724,2003640916,1862918381,1777978850,1732744424,1832647493,1951491413,1848354969,1753092340,1873391690,2006100771
2016,제주특별자치도,428946508,447375084,404279154,393203174,355822054,354637541,385185084,454258623,405821371,350595372,361557103,396520386
2016,충청남도,4278712357,4101464893,4090459893,3938651604,3822072989,3789422506,4019424665,4182948291,3924896758,3903213118,4107340032,4295324249
2016,충청북도,2124763698,2105112435,1979334098,2033075556,1867193767,1902686506,1973528291,2055604786,1928927697,1866582541,2008352586,2163700836
2017,강원도,1579862518,1570620390,1460104585,1390747916,1260134768,1228373663,1266280686,1309951235,1242819890,1228640079,1413444439,1601790836
2017,경기도,10297551285,10228593478,9551033286,9094728670,8531718736,8873249879,9771136508,10298534491,9494122642,8547612151,9438810314,10720767733
2017,경상남도,3192935039,3216892078,2992018889,2879081050,2587206509,2683615466,2873068949,2960982870,2879660416,2456870150,2786077343,3139455162
2017,경상북도,4016217541,3858427388,3827879988,3668403271,3553234567,3592871710,3811468286,3872111829,3757191071,3581570914,3862254867,4053979175
2017,광주광역시,765085605,773394230,717911461,698719498,634698659,677388071,761987673,833272037,758364504,631753373,680054617,751018796
2017,대구광역시,1391375603,1375375341,1263785623,1234858657,1147637263,1218415632,1349358683,1413996807,1306139962,1107847861,1220286516,1357293678
2017,대전광역시,848529121,848650559,779386657,748953987,700347580,741221190,826380597,895487725,787503108,680663080,730893670,835786784
2017,부산광역시,1823488698,1824629914,1693919780,1696124660,1584171900,1646150248,1815922677,1979170711,1848564936,1569819738,1675281742,1850112902
2017,서울특별시,4139966592,4166700122,3649110741,3470754838,3290790532,3621611905,4273771254,4733094973,3998063712,3329881829,3488081998,4136329428
2017,세종특별자치시,256177532,254772667,247248300,234699668,221323980,232819275,247499134,255801591,245760591,215764873,242114204,264776374
2017,울산광역시,2693958094,2492173318,2659205750,2559429883,2593991376,2520792928,2774159715,2782575723,2706478153,2617830037,2511996637,2697258079
2017,인천광역시,2171784705,2146147412,2042081713,1945739086,1867275678,1938030495,2117649832,2225963964,2043139383,1820832587,1979776112,2216892351
2017,전라남도,2966420891,2784464506,2846966201,2791508412,2706544671,2615729654,2753901929,2925330866,2827402981,2737099037,2675815987,2930890980
2017,전라북도,2038012319,2027149853,1996165759,1882119177,1793382499,1770289137,1828011013,1963677998,1875214053,1710326095,1854752617,2060546311
2017,제주특별자치도,442924709,462912423,415697533,418497262,373246057,373510394,419192217,490005400,430853595,366234194,383330836,437140071
2017,충청남도,4362665488,4225252346,4277073815,4069577878,3974477036,4000824295,4240321487,4316874215,4109028215,3903713473,4263162106,4437238722
2017,충청북도,2209997120,2166244108,2138944521,2027115778,1923712611,1937770089,2078380940,2096900268,2025761890,1862330706,2086963270,2289258426
2018,강원도,1668338623,1674745031,1485134587,1370294165,1262857755,1250381348,1285711467,1421772053,1265459412,1242918836,1400537631,1517475859
2018,경기도,11415963373,11183299564,9993519896,9563138090,9270783326,9487504800,10296257400,11686973169,10161728314,9131920869,9791980884,10712884465
2018,경상남도,3393372489,3258150874,2967940188,2840553629,2664332573,2694747251,2872739904,3145719839,2806143886,2628697175,2814897630,3071314662
2018,경상북도,4179138822,3978654635,3850247634,3740997485,3735654063,3584216344,3766045689,3996474105,3746095366,3612134996,3752565076,4016588581
2018,광주광역시,807535917,798506369,698659795,685492936,648944709,688052097,753263260,893914829,765903998,644126666,672599955,716810703
2018,대구광역시,1465797139,1433193918,1253100172,1230455412,1176277028,1232514898,1342335735,1565101558,1309344405,1136572475,1210935737,1320120950
2018,대전광역시,905301903,885431944,784246981,752264410,719714929,758538186,824652565,979931944,816847894,694831101,727019595,800046032
2018,부산광역시,1966688796,1898871411,1714121944,1675122028,1594721994,1647154253,1813943662,2095583177,1841933435,1605288456,1639619151,1723556771
2018,서울특별시,4477101788,4469939706,3657823607,3503967243,3366945673,3686241923,4260543719,5394746425,4262671810,3320081607,3460909034,3949237640
2018,세종특별자치시,281364220,269701557,251894959,241693480,235344709,242180063,256799341,285846034,258021201,236500847,254633743,273712449
2018,울산광역시,2798812939,2600425517,2696446399,2620459068,2753446146,2778506177,2917598149,3081874688,2922434308,2834630282,2784125735,2959409824
2018,인천광역시,2348573947,2195442194,2050296312,1959511382,1865680058,1981284764,2110535362,2408421572,2019014085,1879955872,1956641121,2146569183
2018,전라남도,3016089379,2885332222,2621639143,3292918507,2838286482,2646150608,2799290947,3082887647,2901848875,2639564510,2602028469,2792351025
2018,전라북도,2152747904,2037530731,1926654192,1876137346,1831040444,1810634610,1777087750,1995297098,1884073226,1800278132,1892712818,1977764892
2018,제주특별자치도,490242217,511136904,431990161,430151378,395955466,396634122,431585528,520069286,457710899,381138045,392794652,433195247
2018,충청남도,4628992438,4387239909,4370209308,4158537904,4128141452,4102183936,4342390989,4626019072,4195755141,4142498929,4358065778,4572669841
2018,충청북도,2365630508,2282182906,2182346019,2090819463,2042345097,2058719282,2179168565,2351465108,2114049844,2046337051,2193060156,2333639535
2019,강원도,1660462788,1512411357,1401415015,1376039215,1267171508,1211984669,1230224868,1359412306,1261885637,1233915559,1345986048,1507365608
2019,경기도,11610400483,10712180030,10069947955,9948716180,9416780591,9505754273,9730623377,11713268351,10267027286,9519508614,9728880085,10799219987
2019,경상남도,3364893997,3043749571,2903814407,2853723223,2664244281,2637433521,2809322022,2968281445,2814273481,2671845773,2728515905,3011919762
2019,경상북도,4165072170,3733472734,3868962911,3763434796,3611012620,3491483876,3688216231,3852790045,3509529473,3443730065,3491135246,3695927263
2019,광주광역시,801473294,741798539,682608470,706906711,653101920,673982642,726580978,821995398,756642371,663822053,663133327,711251294
2019,대구광역시,1437112296,1327236133,1213326057,1228570949,1170518967,1204862311,1273370413,1433600398,1314078449,1189613104,1181451745,1291843846
2019,대전광역시,884589905,814190286,759955241,753138163,707813004,732298184,786884094,898970365,826526569,728258793,722432914,800641841
2019,부산광역시,1906812412,1753708360,1652036610,1669234514,1596067821,1633069768,1724989328,1966047347,1847006120,1676462829,1633512252,1743462416
2019,서울특별시,4416888661,4127699405,3582653870,3591551659,3419986712,3676047157,4146986246,4897882358,4305560607,3568256750,3481096955,3952595942
2019,세종특별자치시,292024552,266667611,259635613,259582358,250007849,255500866,274188634,289289047,276593028,260172385,263660812,278856325
2019,울산광역시,3013786079,2621410286,2809607103,2677515802,2794295183,2815389430,3024954529,3054785723,2951354706,2780512932,2716823822,2878562943
2019,인천광역시,2309123530,2028323375,2006746346,1975424228,1912787341,1897766427,2039203372,2226317637,2030426973,1821468973,1921930972,2111170358
2019,전라남도,2960740806,2731062672,2831530771,2791912768,2622310457,2429144495,2648711606,2785148473,2745193697,2617392553,2498812492,2723427085
2019,전라북도,2059374841,1898887509,1934090285,1887328858,1788362329,1700388133,1751150358,1851288341,1865632377,1792961146,1821636152,1929592209
2019,제주특별자치도,504994917,505067420,451731350,460016683,413146604,404084860,420071013,507465258,461504145,402849357,403995970,439357044
2019,충청남도,4792096734,4297030484,4414219071,4272633425,4294716829,4253486590,4475403971,4611352840,4253080586,4141846190,4338289583,4500697251
2019,충청북도,2464535874,2238690631,2246392557,2224873795,2125680381,2097132869,2215302783,2320540024,2162974731,2110201041,2170273137,2355704900
2020,강원도,1547410484,1501654887,1400868749,1346006148,1225448751,1209426428,1218509044,1263509154,1313720713,1236878131,1360652209,1495982143
2020,경기도,11278340457,10853825589,10401852020,9788490857,9306590377,9860838465,10406069013,10976452490,10912339510,9507671042,10142580200,11253913659
2020,경상남도,3168931674,3125833453,2954776329,2735447531,2446864836,2569712259,2698202689,2840866499,2971650536,2570213797,2847815284,3139659359
2020,경상북도,3760339334,3562813591,3480140257,3313282521,3077452650,3056813567,3281092231,3470234339,3581368289,3275160973,3456221776,3686707076
2020,광주광역시,756531697,740068227,696886117,660659042,610865447,685305904,723737539,785929551,810365666,644708555,681435087,734615424
2020,대구광역시,1361826515,1314567589,1200564886,1137812255,1044272181,1149698540,1221759191,1318926440,1398370132,1102514370,1190723038,1317533323
2020,대전광역시,853129014,830839189,771329377,720330231,685456898,756242223,799434942,851834056,873979341,729617900,713731150,819296428
2020,부산광역시,1832429697,1782217246,1670110561,1607069494,1510099368,1615016259,1701537886,1883785621,1944266577,1555323282,1623880430,1778232723
2020,서울특별시,4197026234,4037392215,3657444327,3410966852,3295839162,3730294245,4074025619,4438533786,4284345953,3313411862,3450679424,3897966344
2020,세종특별자치시,288844593,283274957,280548852,264606519,252302181,269349039,284686589,294023468,310726055,266062281,288055505,310742515
2020,울산광역시,2913837054,2707434952,2856121992,2702237672,2684998520,2510483603,2720164019,2871554802,2851862670,2770769570,2713149869,2855219737
2020,인천광역시,2108033392,2062333900,1997984308,1884823355,1801112782,1873174769,1962281622,2075730673,2112103170,1783811406,1885452280,2091740940
2020,전라남도,2773472390,2619058087,2603918574,2587625613,2435207267,2361475268,2525928427,2689689912,2789449409,2512668747,2416994390,2658486551
2020,전라북도,2022692273,1903233798,1740082919,1642399202,1547438554,1533556327,1567216339,1658484173,1803285044,1594954165,1695469915,1830098865
2020,제주특별자치도,491119564,492244672,451371001,445260929,408575275,408215445,424457378,511679405,481908677,390770322,411424337,456260630
2020,충청남도,4571805079,4377239652,4415486029,4072518761,3920033501,4049675837,4245607471,4411688124,4363186846,3720146951,4008747211,4266596898
2020,충청북도,2401135455,2304327813,2291112774,2155659213,2075063119,2113611435,2213059086,2256293583,2307863365,2090628200,2259109943,2434030494
2021,강원도,1629811518,1539605390,1395074195,1334515746,1291702025,1274174094,1320821503,1449134825,1312553034,1280880544,1406177766,1573555006
2021,경기도,12319589176,11464174351,10668286609,10338339106,10024929656,10512798747,11597452331,12196363601,11371798975,10387205122,10761064506,11803945935
2021,경상남도,3449241412,3131331014,2991661051,2881551554,2712793848,2822798564,3008611165,3128817787,2906446154,2697874123,2868923294,3134009528
2021,경상북도,3998480948,3673374357,3621471850,3619611428,3600524452,3506078006,3702200092,3766708249,3678035949,3627776131,3609834570,3854200565
2021,광주광역시,811864417,767227407,697760777,696052225,659750505,713734602,790945617,876521082,781758101,705603738,710813620,761414432
2021,대구광역시,1443837949,1342988375,1222748094,1210021995,1153415332,1232554073,1344663091,1461378952,1301387436,1175079050,1221062825,1334811679
2021,대전광역시,912803676,847140943,771954921,751324169,708973560,774709195,862436988,965781582,830846020,754358407,753811497,814479720
2021,부산광역시,1862279541,1762335099,1656492351,1654340297,1572220858,1676954182,1861381371,2037219364,1842288791,1680884736,1674216347,1787220313
2021,서울특별시,4400410295,4134045439,3550750792,3449256707,3324762948,3701620918,4406552865,5103867603,4145082936,3578614014,3537141085,3963699538
2021,세종특별자치시,334175873,304009818,296000438,287523780,275185212,292890410,315298529,339002099,309351099,286700993,297290104,957934330
2021,울산광역시,2943785014,2646795068,2812601189,2716613981,2682797389,2685454196,2881832474,2911723722,2861562305,2797169611,2746286184,2906501854
2021,인천광역시,2258624004,2089430881,2021302298,1952160578,1904260255,2000698177,2191296728,2387486057,2065171219,1925023203,1946416596,2159324394
2021,전라남도,2844658203,2738900197,2724004606,2670493390,2722102574,2648105312,2856349636,3073050040,2836764382,2726494702,2679717505,2966245613
2021,전라북도,1997136384,1830234267,1771152739,1725471485,1667691078,1697452622,1803462489,1923328048,1791056418,1679463621,1736069147,1864342395
2021,제주특별자치도,518257588,503323648,450804603,461822944,430958338,437446568,486838482,544309598,495549015,446948566,438178823,473291448
2021,충청남도,4434196207,4039445323,4077386549,3876573166,3877528022,3770864537,4137216305,4257399474,3978321724,3855222164,4108694249,4388778130
2021,충청북도,2596409187,2373601172,2344911299,2274004059,2232679399,2283539903,2404437392,2507863447,2310911637,2232922651,2333918250,2506864235
