,년월,연도,월,사용량,고용률
0,2010_01,2010,1,39696747,904.9
1,2010_02,2010,2,37208030,905.6
2,2010_03,2010,3,35554125,928.2
3,2010_04,2010,4,35968361,951.3
4,2010_05,2010,5,33809235,966.8
5,2010_06,2010,6,33824619,965.7
6,2010_07,2010,7,35538791,964.1
7,2010_08,2010,8,37251573,950.9
8,2010_09,2010,9,36243233,951.1
9,2010_10,2010,10,33543805,955.8
10,2010_11,2010,11,36093977,953.3
11,2010_12,2010,12,39275947,929.7
12,2011_01,2011,1,43099078,902.0
13,2011_02,2011,2,39832832,908.6
14,2011_03,2011,3,38433627,933.3
15,2011_04,2011,4,37716270,956.2
16,2011_05,2011,5,35454434,971.4
17,2011_06,2011,6,35747228,974.7
18,2011_07,2011,7,37283762,968.3
19,2011_08,2011,8,38360182,961.0
20,2011_09,2011,9,36859463,953.6
21,2011_10,2011,10,35603320,967.6
22,2011_11,2011,11,36867459,963.1
23,2011_12,2011,12,39653643,937.1
24,2012_01,2012,1,42469665,917.5
25,2012_02,2012,2,41915749,918.8
26,2012_03,2012,3,40308113,940.9
27,2012_04,2012,4,38484369,962.1
28,2012_05,2012,5,36375701,977.1
29,2012_06,2012,6,36596911,975.5
30,2012_07,2012,7,38134463,974.0
31,2012_08,2012,8,39886094,962.8
32,2012_09,2012,9,37868366,969.0
33,2012_10,2012,10,34894616,971.3
34,2012_11,2012,11,37916136,964.8
35,2012_12,2012,12,41564408,937.7
36,2013_01,2013,1,44472409,919.4
37,2013_02,2013,2,40996391,916.2
38,2013_03,2013,3,39504322,940.0
39,2013_04,2013,4,39004550,965.0
40,2013_05,2013,5,37459817,978.3
41,2013_06,2013,6,37365841,977.1
42,2013_07,2013,7,39171380,974.9
43,2013_08,2013,8,40647053,965.7
44,2013_09,2013,9,38781002,969.6
45,2013_10,2013,10,36946382,974.3
46,2013_11,2013,11,38520886,971.5
47,2013_12,2013,12,41875139,944.8
48,2014_01,2014,1,43758414,934.3
49,2014_02,2014,2,41207069,935.8
50,2014_03,2014,3,40622001,953.3
51,2014_04,2014,4,39253853,976.2
52,2014_05,2014,5,37377627,981.0
53,2014_06,2014,6,37842234,980.8
54,2014_07,2014,7,39994984,982.8
55,2014_08,2014,8,40032780,977.3
56,2014_09,2014,9,38161493,978.9
57,2014_10,2014,10,37815461,980.3
58,2014_11,2014,11,38728846,978.8
59,2014_12,2014,12,42618829,948.7
60,2015_01,2015,1,45423302,936.9
61,2015_02,2015,2,41808546,940.2
62,2015_03,2015,3,40859792,954.2
63,2015_04,2015,4,40064243,971.6
64,2015_05,2015,5,37875990,984.2
65,2015_06,2015,6,38330610,985.4
66,2015_07,2015,7,39378498,987.5
67,2015_08,2015,8,41928986,980.9
68,2015_09,2015,9,39704090,985.7
69,2015_10,2015,10,37451090,986.7
70,2015_11,2015,11,38863526,982.9
71,2015_12,2015,12,41775596,963.2
72,2016_01,2016,1,44630416,940.6
73,2016_02,2016,2,43570225,940.2
74,2016_03,2016,3,42245182,957.6
75,2016_04,2016,4,40123456,972.8
76,2016_05,2016,5,38235590,982.7
77,2016_06,2016,6,39668106,984.3
78,2016_07,2016,7,40590292,984.7
79,2016_08,2016,8,44411840,984.3
80,2016_09,2016,9,41203912,984.3
81,2016_10,2016,10,38549180,986.2
82,2016_11,2016,11,40256467,985.9
83,2016_12,2016,12,43533758,964.7
84,2017_01,2017,1,45196955,1002.3
85,2017_02,2017,2,44422398,1007.1
86,2017_03,2017,3,42558537,1029.5
87,2017_04,2017,4,40811060,1044.0
88,2017_05,2017,5,38743897,1054.5
89,2017_06,2017,6,39672663,1054.4
90,2017_07,2017,7,43208493,1054.2
91,2017_08,2017,8,45353733,1045.4
92,2017_09,2017,9,42336070,1049.4
93,2017_10,2017,10,38368790,1049.4
94,2017_11,2017,11,41293098,1048.3
95,2017_12,2017,12,45780535,1027.7
96,2018_01,2018,1,48361692,1006.4
97,2018_02,2018,2,46749787,1003.8
98,2018_03,2018,3,42936271,1025.9
99,2018_04,2018,4,42032511,1040.3
100,2018_05,2018,5,40530471,1049.3
101,2018_06,2018,6,41045644,1050.6
102,2018_07,2018,7,44029951,1048.6
103,2018_08,2018,8,49532098,1042.5
104,2018_09,2018,9,43729034,1047.7
105,2018_10,2018,10,39977476,1049.6
106,2018_11,2018,11,41905129,1051.9
107,2018_12,2018,12,45317349,1026.6
108,2019_01,2019,1,48644384,1008.2
109,2019_02,2019,2,44353586,1013.4
110,2019_03,2019,3,43088673,1032.9
111,2019_04,2019,4,42440604,1041.6
112,2019_05,2019,5,40708005,1051.6
113,2019_06,2019,6,40619810,1052.7
114,2019_07,2019,7,42966183,1052.1
115,2019_08,2019,8,47558432,1052.6
116,2019_09,2019,9,43649290,1053.4
117,2019_10,2019,10,40622819,1057.8
118,2019_11,2019,11,41111567,1057.6
119,2019_12,2019,12,44731595,1036.4
120,2020_01,2020,1,46326904,1021.7
121,2020_02,2020,2,44498361,1024.3
122,2020_03,2020,3,42870599,1017.7
123,2020_04,2020,4,40475197,1019.2
124,2020_05,2020,5,38327621,1033.9
125,2020_06,2020,6,39752888,1040.5
126,2020_07,2020,7,42067769,1042.7
127,2020_08,2020,8,44599215,1043.1
128,2020_09,2020,9,45110793,1041.8
129,2020_10,2020,10,39065311,1042.7
130,2020_11,2020,11,41146120,1046.5
131,2020_12,2020,12,45027083,1013.3
132,2021_01,2021,1,48755561,981.3
133,2021_02,2021,2,45187960,1005.3
134,2021_03,2021,3,43074365,1028.3
135,2021_04,2021,4,41899676,1040.7
136,2021_05,2021,5,40842275,1052.4
137,2021_06,2021,6,42031875,1054.9
138,2021_07,2021,7,45971796,1052.7
139,2021_08,2021,8,48929956,1052.8
140,2021_09,2021,9,44818884,1054.6
141,2021_10,2021,10,41838223,1056.3
142,2021_11,2021,11,42829617,1054.6
143,2021_12,2021,12,47250619,1025.5
